id,mms_id,call_number,title,date_acquired,Author,Publisher,Publication Date,Subjects
31154069010765,9998789461407876,BV761.A8 H35,Kanonagirkʻ Hayotsʻ /,2026-03-23,Armenian Church.,Haykakan SSR Gitutʻyunneri Akademiayi Hratarakchʻutʻyun,1964-1971.,Canon law--Eastern churches; Direito canonico.; Historia da asia.; Canon law--Eastern churches.; Eastern Europe.; Droit canonique--Églises orientales.
31154069010773,990028238560107904,DS191 .H39 1974,Hayeren dzeṛagreri 17 dari hishatakaranner /,2026-03-23,,Haykakan S S H Gitutʻyunneri Akademiayi Hratarakchʻutʻyun,1974-<1984 >,"Armenia--History--Sources.--1522-1800; Colophons of manuscripts.; Manuscripts, Armenian.; Colophons of manuscripts; Manuscripts, Armenian; Armenia; 1522-1800; History; Sources; Armenia (region); Arménie--Histoire--Sources.--1522-1800; Achevés d'imprimer de manuscrits.; Manuscrits arméniens."
31154069010781,990028238560107904,DS191 .H39 1974,Hayeren dzeṛagreri 17 dari hishatakaranner /,2026-03-23,,Haykakan S S H Gitutʻyunneri Akademiayi Hratarakchʻutʻyun,1974-<1984 >,"Armenia--History--Sources.--1522-1800; Colophons of manuscripts.; Manuscripts, Armenian.; Colophons of manuscripts; Manuscripts, Armenian; Armenia; 1522-1800; History; Sources; Armenia (region); Arménie--Histoire--Sources.--1522-1800; Achevés d'imprimer de manuscrits.; Manuscrits arméniens."
31154069010799,990028238560107904,DS191 .H39 1974,Hayeren dzeṛagreri 17 dari hishatakaranner /,2026-03-23,,Haykakan S S H Gitutʻyunneri Akademiayi Hratarakchʻutʻyun,1974-<1984 >,"Armenia--History--Sources.--1522-1800; Colophons of manuscripts.; Manuscripts, Armenian.; Colophons of manuscripts; Manuscripts, Armenian; Armenia; 1522-1800; History; Sources; Armenia (region); Arménie--Histoire--Sources.--1522-1800; Achevés d'imprimer de manuscrits.; Manuscrits arméniens."
31154069010807,9998789461207876,B440 .D3 1967,Tolkovanie Analitiki Aristoteli͡a : svodnyĭ kriticheskiĭ tekst /,2026-03-23,"David, the Invincible, author.",Izd-vo AN Armi͡anskoĭ SSR,1967.,Aristotle.--Analytica priora.; Aristotle.--Prior analytics.; Prior analytics (Aristotle); Alexandria.
31154069010815,9998789461107876,DS186 .K37 1974,"Kilikioy Haykakan Ishkhanapetutʻiwně Merdzawor Arewelkʻi kʻaghakʻakan holovoytʻin mēj, 1080-1137 /",2026-03-23,"Kassouny, Yervant H.",Kassouny,1974.,"Cilicia--History--Armenian Kingdom, 1080-1375.; Middle East--History.; Asia--Cilicia; Middle East; 1080-1375; History; Cilicia.; Cilicie--Histoire--1080-1375 (Royaume de Petite Arménie); Moyen-Orient--Histoire."
31154069010823,9998789461007876,BX129.N44 H3 1971,Nerses Lambronatsʻi /,2026-03-23,"Hakobyan, Grigor Arshaki, author.",Haykakan SSH GA Hratarakchʻutʻyun,1971.,"Nerses,--of Lambron, Saint,--1153-1198; Tarsus/Antiochia ad Cydnum.; Nerses,--of Lambron, Saint,--1153-1198."
31154069010831,9998789460907876,GR203.G3 C53 1963,Skazanii͡a i legendy. Perevod s gruzinskogo.,2026-03-23,"Čʻikʻovani, Mixeil, 1909-1983, editor.",Zari͡a Vostoka,1963.,Folklore--Georgia.; Folklore; Georgia; Georgia.; Folklore--Géorgie (État)
31154069010849,9998789460407876,PK8535 .H27 1961,Hay ashughner XVII-XVIII d.d. /,2026-03-23,,Haykakan SSṚ GA Hratarakchʻutyun,1961.,"Armenian poetry.; Poets, Armenian--Biography.; Armenian poetry; Poets, Armenian; Biographies; Armenia (region); Biographies.; Poésie arménienne."
31154069010856,9998789460107876,DK511.G32 I5 1968,Prichernomorskie goroda drevneĭ Kolkhidy /,2026-03-23,"Inaże, M.","""Met͡sniereba"" = ""Mecʻniereba""",1968.,Cities and towns--Georgia (Republic)--Colchis.; Colchis--Antiquities.; Antiquities; Cities and towns; Asia--Colchis; Colchis/Lazike.
31154069010864,9998789459707876,BS2635.3 .E64 1968,Epistoletʻa cigni /,2026-03-23,,Mecʻniereba,1968.,Bible. Epistles Commentaries.; Georgia (Republic)--Church history.; Bible. Epistles; Georgia (Republic); Church history; Commentaries; Georgia.
31154069010872,9998789459407876,DS42 .P36 1956,Hrovartakner /,2026-03-23,Mashtotsʻi Anvan Hin Dzeṛagreri Institut Matenadaran.,Zangak-97; Haykakan SSṚ Gitutʻyunneri akademiayi hratarakchʻutʻyun,1956-,"Mashtotsʻi Anvan Hin Dzeṛagreri Institut Matenadaran--Catalogs.; Manuscripts, Persian--Armenia (Republic)--Yerevan--Catalogs.; Iran--History--Sources--Catalogs.; Mashtotsʻi Anvan Hin Dzeṛagreri Institut Matenadaran; Manuscripts, Persian; Armenia (Republic)--Yerevan; Iran; Catalogs; History; Matenadaran.; Manuscrits persans--Arménie--Erevan--Catalogues.; Iran--Histoire--Sources--Catalogues."
31154069010880,9998789459407876,DS42 .P36 1956,Hrovartakner /,2026-03-23,Mashtotsʻi Anvan Hin Dzeṛagreri Institut Matenadaran.,Zangak-97; Haykakan SSṚ Gitutʻyunneri akademiayi hratarakchʻutʻyun,1956-,"Mashtotsʻi Anvan Hin Dzeṛagreri Institut Matenadaran--Catalogs.; Manuscripts, Persian--Armenia (Republic)--Yerevan--Catalogs.; Iran--History--Sources--Catalogs.; Mashtotsʻi Anvan Hin Dzeṛagreri Institut Matenadaran; Manuscripts, Persian; Armenia (Republic)--Yerevan; Iran; Catalogs; History; Matenadaran.; Manuscrits persans--Arménie--Erevan--Catalogues.; Iran--Histoire--Sources--Catalogues."
